,index,name_last,name_first,key_mlbam,key_retro,key_bbref,key_fangraphs,mlb_played_first,mlb_played_last,name2search
0,0,abad,fernando,472551,abadf001,abadfe01,4994,2010.0,2019.0,fernandoabad
1,1,abreu,bryan,650556,abreb002,abreubr01,16609,2019.0,2019.0,bryanabreu
2,2,abreu,jose,547989,abrej003,abreujo02,15676,2014.0,2019.0,joseabreu
3,3,acuna,ronald,660670,acunr001,acunaro01,18401,2018.0,2019.0,ronaldacuna
4,4,adam,jason,592094,adamj002,adamja01,11861,2018.0,2019.0,jasonadam
5,5,adames,cristhian,542436,adamc001,adamecr01,6013,2014.0,2019.0,cristhianadames
6,6,adames,willy,642715,adamw002,adamewi01,15986,2018.0,2019.0,willyadames
7,7,adams,austin,613534,adama002,adamsau02,13801,2017.0,2019.0,austinadams
8,8,adams,austin,542866,adama001,adamsau01,7411,2014.0,2019.0,austinadams
9,9,adams,chance,664856,adamc002,adamsch01,18135,2018.0,2019.0,chanceadams
10,10,adams,lane,572669,adaml001,adamsla01,10767,2014.0,2018.0,laneadams
11,11,adams,matt,571431,adamm002,adamsma01,9393,2012.0,2019.0,mattadams
12,12,adduci,jim,451192,adduj002,adducji02,6448,2013.0,2019.0,jimadduci
13,13,adleman,tim,534947,adlet001,adlemti01,10968,2016.0,2017.0,timadleman
14,14,adrianza,ehire,501303,adrie001,adriaeh01,8418,2013.0,2019.0,ehireadrianza
15,15,agrazal,dario,642607,agrad001,agrazda01,15821,2019.0,2019.0,darioagrazal
16,16,aguilar,jesus,542583,aguij001,aguilje01,11342,2014.0,2019.0,jesusaguilar
17,17,ahmed,nick,605113,ahmen001,ahmedni01,12147,2014.0,2019.0,nickahmed
18,18,alaniz,r. j.,595798,alanr001,alanirj01,10819,2019.0,2019.0,r. j.alaniz
19,19,albers,andrew,452027,albea001,alberan01,7853,2013.0,2017.0,andrewalbers
20,20,albers,matt,458006,albem001,alberma01,4300,2006.0,2019.0,mattalbers
21,21,alberto,hanser,593643,albeh001,alberha01,11902,2015.0,2019.0,hanseralberto
22,22,albies,ozzie,645277,albio001,albieoz01,16556,2017.0,2019.0,ozziealbies
23,23,alburquerque,al,456379,albua001,albural01,6324,2011.0,2017.0,alalburquerque
24,24,alcala,jorge,660896,alcaj001,alcaljo01,19459,2019.0,2019.0,jorgealcala
25,25,alcantara,arismendy,570489,alcaa001,alcanar01,10711,2014.0,2017.0,arismendyalcantara
26,26,alcantara,raul,593417,alcar001,alcanra01,12790,2016.0,2017.0,raulalcantara
27,27,alcantara,sandy,645261,alcas001,alcansa01,18684,2017.0,2019.0,sandyalcantara
28,28,alcantara,victor,622505,alcav001,alcanvi01,15028,2017.0,2019.0,victoralcantara
29,29,alexander,scott,518397,alexs001,alexasc02,10591,2015.0,2019.0,scottalexander
30,30,alexander,tyler,641302,alext001,alexaty01,17735,2019.0,2019.0,tyleralexander
31,31,alfaro,jorge,595751,alfaj002,alfarjo01,12180,2016.0,2019.0,jorgealfaro
32,32,alford,anthony,546990,alfoa002,alforan01,14329,2017.0,2019.0,anthonyalford
33,33,allard,kolby,663465,allak001,allarko01,18694,2018.0,2019.0,kolbyallard
34,34,allen,austin,664119,allea001,allenau01,18083,2019.0,2019.0,austinallen
35,35,allen,cody,592102,allec002,allenco01,12183,2012.0,2019.0,codyallen
36,36,allen,greg,656185,alleg002,allengr01,16623,2017.0,2019.0,gregallen
37,37,allen,logan,663531,allel002,allenlo01,18555,2019.0,2019.0,loganallen
38,38,almonte,abraham,501659,almoa001,almonab01,5486,2013.0,2019.0,abrahamalmonte
39,39,almonte,miguel,602083,almom001,almonmi01,14139,2015.0,2018.0,miguelalmonte
40,40,almonte,yency,622075,almoy001,almonye01,15068,2018.0,2019.0,yencyalmonte
41,41,almora,albert,546991,almoa002,almoral01,14109,2016.0,2019.0,albertalmora
42,42,alonso,pete,624413,alonp001,alonspe01,19251,2019.0,2019.0,petealonso
43,43,alonso,yonder,475174,alony001,alonsyo01,2530,2010.0,2019.0,yonderalonso
44,44,altavilla,dan,656186,altad001,altavda01,16507,2016.0,2019.0,danaltavilla
45,45,altherr,aaron,571437,altha001,altheaa01,11270,2014.0,2019.0,aaronaltherr
46,46,altuve,jose,514888,altuj001,altuvjo01,5417,2011.0,2019.0,josealtuve
47,47,alvarado,jose,621237,alvaj004,alvarjo03,17780,2017.0,2019.0,josealvarado
48,48,alvarez,dario,516714,alvad001,alvarda01,14239,2014.0,2017.0,darioalvarez
49,49,alvarez,henderson,506693,alvah001,alvarhe01,5669,2011.0,2017.0,hendersonalvarez
50,50,alvarez,jose,501625,alvaj003,alvarjo02,5358,2013.0,2019.0,josealvarez
51,51,alvarez,pedro,476883,alvap001,alvarpe01,2495,2010.0,2018.0,pedroalvarez
52,52,alvarez,yordan,670541,alvay001,alvaryo01,19556,2019.0,2019.0,yordanalvarez
53,53,alzolay,adbert,640470,alzoa001,alzolad01,17859,2019.0,2019.0,adbertalzolay
54,54,amarista,alexi,506560,amara001,amarial01,9063,2011.0,2017.0,alexiamarista
55,55,anderson,brett,474463,andeb004,anderbr04,8223,2009.0,2019.0,brettanderson
56,56,anderson,brian,605119,andeb006,anderbr06,18289,2017.0,2019.0,briananderson
57,57,anderson,chase,502624,andec001,anderch01,6895,2014.0,2019.0,chaseanderson
58,58,anderson,cody,594736,andec002,anderco01,12799,2015.0,2019.0,codyanderson
59,59,anderson,drew,623454,anded003,anderdr02,15130,2017.0,2019.0,drewanderson
60,60,anderson,justin,605121,andej005,anderju01,16201,2018.0,2019.0,justinanderson
61,61,anderson,nick,623433,anden001,anderni01,18337,2019.0,2019.0,nickanderson
62,62,anderson,shaun,641312,andes002,andersh01,19453,2019.0,2019.0,shaunanderson
63,63,anderson,tanner,664196,andet003,anderta01,18029,2018.0,2019.0,tanneranderson
64,64,anderson,tim,641313,andet001,anderti01,15172,2016.0,2019.0,timanderson
65,65,anderson,tyler,542881,andet002,anderty01,12880,2016.0,2019.0,tyleranderson
66,66,andreoli,john,607430,andrj001,andrejo03,13012,2018.0,2018.0,johnandreoli
67,67,andriese,matt,542882,andrm001,andrima01,12022,2015.0,2019.0,mattandriese
68,68,andrus,elvis,462101,andre001,andruel01,8709,2009.0,2019.0,elvisandrus
69,69,andujar,miguel,609280,andum001,andujmi01,15878,2017.0,2019.0,miguelandujar
70,70,aoki,nori,493114,aokin001,aokino01,13075,2012.0,2017.0,noriaoki
71,71,aquino,aristides,606157,aquia001,aquinar01,15482,2018.0,2019.0,aristidesaquino
72,72,aquino,jayson,593969,aquij001,aquinja01,13150,2016.0,2017.0,jaysonaquino
73,73,arano,victor,644364,aranv001,aranovi01,15915,2017.0,2019.0,victorarano
74,74,araujo,pedro,606478,araup001,araujpe01,17697,2018.0,2019.0,pedroaraujo
75,75,archer,chris,502042,archc001,archech01,6345,2012.0,2019.0,chrisarcher
76,76,arcia,francisco,516472,arcif001,arciafr01,10286,2018.0,2018.0,franciscoarcia
77,77,arcia,orlando,606115,arcio002,arciaor01,13185,2016.0,2019.0,orlandoarcia
78,78,arenado,nolan,571448,arenn001,arenano01,9777,2013.0,2019.0,nolanarenado
79,79,armenteros,rogelio,660494,armer001,armenro01,17679,2019.0,2019.0,rogelioarmenteros
80,80,armstrong,shawn,542888,armss001,armstsh01,12857,2015.0,2019.0,shawnarmstrong
81,81,arozarena,randy,668227,arozr001,arozara01,19290,2019.0,2019.0,randyarozarena
82,82,arraez,luis,650333,arral001,arraelu01,18568,2019.0,2019.0,luisarraez
83,83,arrieta,jake,453562,arrij001,arrieja01,4153,2010.0,2019.0,jakearrieta
84,84,arroyo,bronson,276520,arrob001,arroybr01,978,2000.0,2017.0,bronsonarroyo
85,85,arroyo,christian,624414,arroc001,arroych01,16434,2017.0,2019.0,christianarroyo
86,86,arteaga,humberto,600858,arteh001,arteahu01,13595,2019.0,2019.0,humbertoarteaga
87,87,asche,cody,605125,aschc001,ascheco01,11997,2013.0,2017.0,codyasche
88,88,asher,alec,594742,ashea001,asheral01,13560,2015.0,2018.0,alecasher
89,89,astin,barrett,592120,astib001,astinba01,14812,2017.0,2017.0,barrettastin
90,90,astudillo,willians,553902,astuw001,astudwi01,15608,2018.0,2019.0,williansastudillo
91,91,asuaje,carlos,641319,asuac001,asuajca01,15197,2016.0,2018.0,carlosasuaje
92,92,austin,tyler,592122,austt001,austity01,11850,2016.0,2019.0,tyleraustin
93,93,avelino,abiatal,623214,avela001,aveliab01,15496,2018.0,2019.0,abiatalavelino
94,94,avila,alex,488671,avila001,avilaal01,7476,2009.0,2019.0,alexavila
95,95,avila,pedro,658648,avilp001,avilape01,18864,2019.0,2019.0,pedroavila
96,96,avilan,luis,501593,avill001,avilalu01,2882,2012.0,2019.0,luisavilan
