Hitting,,,,,,,,,,,,,,,,,,,,,,,
Pos,Player,Team,Status,Eligible,Status,Opponent,Contract,2015,2016,2017,2018,2019,AB,H,R,HR,RBI,SB,AVG,OPS,GP,,
C,Omar Narvaez,SEA,start,C,Act,OAK 1<br/>@SEA 3 F,-,,,,,,428,119,63,22,55,0,0.278,0.813,132,,
1B,Jose Abreu,CHW,start,1B,Act,DET 3<br/>@CHW 5 F,1,,,,,4,634,180,85,33,123,2,0.284,0.834,159,,
2B,Ryan McMahon,COL,start,"1B,2B,3B",Act,MIL 3<br/>@COL 4 F,3,,,,,17,480,120,70,24,83,5,0.25,0.779,141,,
3B,Max Muncy,LAD,start,"1B,2B,3B",Act,LAD 9<br/>@SF 0 F,2,,,,undr,29,487,122,101,35,98,4,0.251,0.889,141,,
SS,Tim Anderson,CHW,start,SS,Act,DET 3<br/>@CHW 5 F,2,,,,undr,29,498,167,81,18,56,17,0.335,0.865,123,,
CI,Rafael Devers,BOS,bench,3B,Act,BAL 4<br/>@BOS 5 F,1,,,undr,29,27,647,201,129,32,115,8,0.311,0.916,156,,
MI,Howie Kendrick,WAS,bench,"1B,2B,3B",Act,CLE 2<br/>@WAS 8 F,-,,,,,,334,115,61,17,62,2,0.344,0.966,121,,
OF,Mike Trout,LAA,start,OF,Act,ATL 6<br/>@NYM 7 F,2,,,,10,10,549,141,90,33,92,7,0.257,0.856,151,,
OF,Trent Grisham,MIL,day off,OF,Act,MIL 3<br/>@COL 4 F,-,,,,,,156,36,24,6,24,1,0.231,0.738,51,,
OF,Austin Hays,BAL,start,OF,Act,BAL 4<br/>@BOS 5 F,-,,,,,,68,21,12,4,13,2,0.309,0.947,21,,
OF,Leury Garcia,CHW,start or bench?,,,,,,,,,,,,,,,,,,,,
OF,Anthony Santander,BAL,start or bench?,,,,,,,,,,,,,,,,,,,,
OF,Austin Meadows,TB,backup,OF,Act,TB 3<br/>@TOR 8 F,3,,,,,11,530,154,83,33,89,12,0.291,0.922,138,,
UT,Luke Voit,NYY,backup,1B,Act,NYY 1<br/>@TEX 6 F,3,,,,,10,429,113,72,21,62,0,0.263,0.842,118,,
3B,Kris Bryant,CHC,injured,"3B,OF",Res,CHC 0<br/>@STL 9 F,0,,,,,2,543,153,108,31,77,4,0.282,0.903,147,,
SS,Didi Gregorius,NYY,injured,SS,Res,NYY 1<br/>@TEX 6 F,1,,,undr,29,27,324,77,47,16,61,2,0.238,0.718,82,,
,,,,OF,Res,SD 0<br/>@ARI 1 F,3,,,,,15,440,95,64,33,64,5,0.216,0.778,140,,
,,,,OF,Res,OAK 1<br/>@SEA 3 F,2,,,,,6,510,116,70,6,37,46,0.227,0.635,134,,
Totals,,,,,,,,,,,,,"7,369","1,995","1,207",388,"1,203",110,0.271,0.839,"2,068",,
,,,,,,,,,,,,,,,,,,,,,,,
Pitching,,,,,,,,,,,,,,,,,,,,,,,
Pos,Player,Team,,Eligible,Status,Opponent,Contract,2015,2016,2017,2018,2019,GS,QS,W,IP,H,BB,K,SV,ERA,WHIP,GP
P,Chris Bassitt,OAK,,SP,Act,OAK 1<br/>@SEA 3 F,-,,,,,,25,10,10,144,125,47,141,0,3.81,1.194,28
P,Shane Bieber,CLE,,SP,Act,CLE 2<br/>@WAS 8 F,3,,,,,9,33,24,15,214.1,186,40,259,0,3.28,1.054,34
P,Mike Clevinger,CLE,,SP,Act,CLE 2<br/>@WAS 8 F,2,,,,14,14,21,13,13,126,96,37,169,0,2.71,1.056,21
P,Anthony DeSclafani,CIN,,SP,Act,CIN 3<br/>@PIT 1 F,-,,,,,,31,11,9,166.2,151,49,167,0,3.89,1.2,31
P,Joey Lucchesi,SD,,SP,Act,SD 0<br/>@ARI 1 F,3,,,,,14,30,11,10,163.2,144,56,158,0,4.18,1.222,30
P,Steven Matz,NYM,,SP,Act,ATL 6<br/>@NYM 7 F,-,,,,,,30,15,11,160.1,163,52,153,0,4.21,1.341,32
P,Charlie Morton,TB,,SP,Act,TB 3<br/>@TOR 8 F,2,,,,17,17,33,19,16,194.2,154,57,240,0,3.05,1.084,33
P,Hyun-Jin Ryu,LAD,,SP,Act,LAD 9<br/>@SF 0 F,3,,,,,15,29,22,14,182.2,160,24,163,0,2.32,1.007,29
P,Jose Leclerc,TEX,,RP,Act,NYY 1<br/>@TEX 6 F,2,,,,undr,29,3,0,2,68.2,52,39,100,14,4.33,1.325,70
P,Kenta Maeda,LAD,,SP,Res,LAD 9<br/>@SF 0 F,3,,,,,12,26,9,10,153.2,114,51,169,3,4.04,1.074,37
P,Anibal Sanchez,WAS,,SP,Res,CLE 2<br/>@WAS 8 F,-,,,,,,30,13,11,166,153,58,134,0,3.85,1.271,30
P,Masahiro Tanaka,NYY,,SP,Res,NYY 1<br/>@TEX 6 F,2,,,,,6,31,15,11,182,186,40,149,0,4.45,1.242,32
P,Forrest Whitley,HOU,,SP,Res,HOU 8<br/>@LAA 5 F,3,,,,undr,29*,0,0,0,0,0,0,0,0,0,0,0
Totals,,,,,,,,,,,,,235,125,100,"1,421","1,231",401,"1,550",14,3.46,1.148,308
