,rank,player,team,elig_pos,pos_rank,age
0,1,Mike Trout,LAA,OF,OF1,28
1,2,Ronald Acuna Jr.,ATL,OF,OF2,21
2,3,Christian Yelich,MIL,OF,OF3,27
3,4,Mookie Betts,BOS,OF,OF4,26
4,5,Jacob deGrom,NYM,SP,SP1,31
5,6,Cody Bellinger,LAD,1B/OF,1B1,24
6,7,Alex Bregman,HOU,SS/3B,SS1,25
7,8,Freddie Freeman,ATL,1B,1B2,29
8,9,Justin Verlander,HOU,SP,SP2,36
9,10,Nolan Arenado,COL,3B,3B2,28
10,11,Francisco Lindor,CLE,SS,SS2,25
11,12,Juan Soto,WSH,OF,OF6,20
12,13,Trea Turner,WSH,SS,SS3,26
13,14,Max Scherzer,WSH,SP,SP3,35
14,15,Trevor Story,COL,SS,SS4,26
15,16,J.D. Martinez,BOS,OF,OF7,32
16,17,Javier Baez,CHC,SS/2B/3B,SS5,26
17,18,Starling Marte,PIT,OF,OF8,30
18,19,Jose Altuve,HOU,2B,2B2,29
19,20,Bryce Harper,PHI,OF,OF9,26
20,21,Clayton Kershaw,LAD,SP,SP4,31
21,22,Anthony Rendon,WSH,3B,3B4,29
22,23,Anthony Rizzo,CHC,1B,1B3,30
23,24,Charlie Blackmon,COL,OF,OF10,33
24,25,Gerrit Cole,HOU,SP,SP5,28
25,26,Rafael Devers,BOS,3B,3B5,22
26,27,Xander Bogaerts,BOS,SS,SS6,26
27,28,Kris Bryant,CHC,3B/OF,3B6,27
28,29,Paul Goldschmidt,STL,1B,1B4,31
29,30,Zack Greinke,HOU,SP,SP6,35
30,31,George Springer,HOU,OF,OF12,29
31,32,Aaron Judge,NYY,OF,OF13,27
32,33,Marcell Ozuna,STL,OF,OF14,28
33,34,Stephen Strasburg,WSH,SP,SP7,31
34,35,Whit Merrifield,KC,2B/OF,2B3,30
35,36,Manny Machado,SD,SS/3B,SS7,27
36,37,Gleyber Torres,NYY,SS/2B,SS8,22
37,38,Walker Buehler,LAD,SP,SP8,25
38,39,Michael Brantley,HOU,OF,OF16,32
39,40,Eddie Rosario,MIN,OF,OF17,27
40,41,Jose Abreu,CWS,1B,1B5,32
41,42,Eugenio Suarez,CIN,3B,3B8,28
42,43,Aaron Nola,PHI,SP,SP9,26
43,44,Noah Syndergaard,NYM,SP,SP10,26
44,45,Hyun-Jin Ryu,LAD,SP,SP11,32
45,46,Jonathan Villar,BAL,2B/SS,2B5,28
46,47,Yordan Alvarez,HOU,OF,OF18,22
47,48,Shane Bieber,CLE,SP,SP12,24
48,49,Kirby Yates,SD,RP,RP1,32
49,50,Aroldis Chapman,NYY,RP,RP2,31
50,51,Max Kepler,MIN,OF,OF19,26
51,52,Pete Alonso,NYM,1B,1B6,24
52,53,Roberto Osuna,HOU,RP,RP3,24
53,54,Mike Clevinger,CLE,SP,SP13,28
54,55,Charlie Morton,TB,SP,SP14,35
55,56,Josh Hader,MIL,RP,RP4,25
56,57,Vladimir Guerrero Jr.,TOR,3B,3B9,20
57,58,Bo Bichette,TOR,SS,SS10,21
58,59,Shohei Ohtani,LAA,DH,DH1,25
59,60,Carlos Santana,CLE,1B,1B7,33
60,61,Will Smith,SF,RP,RP5,30
61,62,Yasiel Puig,CLE,OF,OF20,28
62,63,Ketel Marte,ARI,SS/2B/OF,SS11,25
63,64,Brad Hand,CLE,RP,RP6,29
64,65,Josh Bell,PIT,1B,1B8,27
65,66,Jack Flaherty,STL,SP,SP15,23
66,67,Felipe Vazquez,PIT,RP,RP7,28
67,68,Nelson Cruz,MIN,DH,DH2,39
68,69,Ozzie Albies,ATL,2B,2B7,22
69,70,Kenley Jansen,LAD,RP,RP8,31
70,71,Patrick Corbin,WSH,SP,SP16,30
71,72,Michael Conforto,NYM,OF,OF22,26
72,73,Rhys Hoskins,PHI,OF/1B,OF23,26
73,74,Liam Hendriks,OAK,RP/SP,RP9,30
74,75,Andrew Benintendi,BOS,OF,OF24,25
75,76,Didi Gregorius,NYY,SS,SS12,29
76,77,Raisel Iglesias,CIN,RP,RP10,29
77,78,Craig Kimbrel,CHC,RP,RP11,31
78,79,Yuli Gurriel,HOU,3B/1B,3B10,35
79,80,Lucas Giolito,CWS,SP,SP18,25
80,81,DJ LeMahieu,NYY,2B/1B/3B,2B8,31
81,82,Luis Castillo,CIN,SP,SP19,26
82,83,Nicholas Castellanos,CHC,OF,OF25,27
83,84,Madison Bumgarner,SF,SP,SP20,30
84,85,Tommy Pham,TB,OF,OF26,31
85,86,Matt Olson,OAK,1B,1B12,25
86,87,Keston Hiura,MIL,2B,2B9,23
87,88,Matt Chapman,OAK,3B,3B12,26
88,89,Kyle Hendricks,CHC,SP,SP21,29
89,90,Mike Moustakas,MIL,3B/2B,3B13,30
90,91,J.T. Realmuto,PHI,C,C1,28
91,92,Max Muncy,LAD,3B/1B/2B,3B14,29
92,93,Yu Darvish,CHC,SP,SP22,33
93,94,Marcus Semien,OAK,SS,SS13,28
94,95,Trey Mancini,BAL,OF/1B,OF27,27
95,96,Trevor Bauer,CIN,SP,SP23,28
96,97,Adalberto Mondesi,KC,SS,SS14,24
97,98,Austin Meadows,TB,OF,OF28,24
98,99,Sonny Gray,CIN,SP,SP24,29
99,100,Josh Donaldson,ATL,3B,3B15,33
100,101,Eduardo Escobar,ARI,SS/2B/3B,SS15,30
101,102,Gary Sanchez,NYY,C,C2,26
102,103,Jose Berrios,MIN,SP,SP25,25
103,104,Elvis Andrus,TEX,SS,SS16,31
104,105,Hector Neris,PHI,RP,RP12,30
105,106,James Paxton,NYY,SP,SP26,30
106,107,Justin Turner,LAD,3B,3B17,34
107,108,Carlos Martinez,STL,SP/RP,SP27,27
108,109,Khris Davis,OAK,DH,DH3,31
109,110,Paul DeJong,STL,SS,SS17,26
110,111,Jeff McNeil,NYM,2B/3B/OF,2B13,27
111,112,Jean Segura,PHI,SS,SS18,29
112,113,Mike Soroka,ATL,SP,SP28,22
113,114,Eric Hosmer,SD,1B,1B15,29
114,115,Adam Eaton,WSH,OF,OF30,30
115,116,Eduardo Rodriguez,BOS,SP,SP29,26
116,117,Lorenzo Cain,MIL,OF,OF31,33
117,118,Victor Robles,WSH,OF,OF32,22
118,119,Ryan Braun,MIL,OF,OF33,35
119,120,Jorge Soler,KC,OF,OF34,27
120,121,Jose Quintana,CHC,SP,SP30,30
121,122,Mallex Smith,SEA,OF,OF35,26
122,123,Giancarlo Stanton,NYY,OF,OF36,29
123,124,Archie Bradley,ARI,RP,RP14,27
124,125,Eloy Jimenez,CWS,OF,OF37,22
125,126,Mike Minor,TEX,SP,SP31,31
126,127,Justin ton,LAA,OF,OF38,32
127,128,Christian Walker,ARI,1B,1B16,28
128,129,Corey Kluber,CLE,SP,SP32,33
129,130,Jorge Polanco,MIN,SS,SS19,26
130,131,Yoan Moncada,CWS,2B/3B,2B14,24
131,132,Ryan McMahon,COL,1B/2B/3B,1B17,24
132,133,Franmil Reyes,CLE,OF,OF39,24
133,134,Edwin Encarnacion,NYY,1B,1B18,36
134,135,Robbie Ray,ARI,SP,SP33,27
135,136,Aaron Hicks,NYY,OF,OF40,29
136,137,Taylor Rogers,MIN,RP,RP15,28
137,138,Masahiro Tanaka,NYY,SP,SP34,30
138,139,Hunter Renfroe,SD,OF,OF41,27
139,140,Emilio Pagan,TB,RP,RP16,28
140,141,Tim Anderson,CWS,SS,SS20,26
141,142,Amed Rosario,NYM,SS,SS21,23
142,143,Yasmani Grandal,MIL,C/1B,C3,30
143,144,Dansby Swanson,ATL,SS,SS22,25
144,145,Lance Lynn,TEX,SP,SP35,32
145,146,Miguel Sano,MIN,3B,3B21,26
146,147,Domingo German,NYY,SP,SP36,27
147,148,Bryan Reynolds,PIT,OF,OF42,24
148,149,Matthew Boyd,DET,SP,SP37,28
149,150,Will Smith,LAD,C,C4,24
150,151,Danny Santana,TEX,OF/1B/2B,OF43,28
151,152,Daniel Murphy,COL,2B/1B,2B17,34
152,153,Kenta Maeda,LAD,SP/RP,SP38,31
153,154,Luke Voit,NYY,1B,1B22,28
154,155,Mike Fiers,OAK,SP,SP39,34
155,156,Hunter Dozier,KC,3B/1B/OF,3B22,28
156,157,Kyle Schwarber,CHC,OF,OF45,26
157,158,Zack Wheeler,NYM,SP,SP40,29
158,159,Mitch Haniger,SEA,OF,OF46,28
159,160,Jeff Samardzija,SF,SP,SP41,34
160,161,A.J. Pollock,LAD,OF,OF47,31
161,162,Blake Snell,TB,SP,SP42,26
162,163,Nick Senzel,CIN,2B/OF,2B18,24
163,164,Reynaldo Lopez,CWS,SP,SP43,25
164,165,Shin-Soo Choo,TEX,OF,OF49,37
165,166,Marcus Stroman,NYM,SP,SP44,28
166,167,David Peralta,ARI,OF,OF50,32
167,168,Kevin Pillar,SF,OF,OF51,30
168,169,Miles Mikolas,STL,SP,SP45,31
169,170,Cesar Hernandez,PHI,2B,2B19,29
170,171,Caleb Smith,MIA,SP,SP46,28
171,172,David Dahl,COL,OF,OF52,25
172,173,Alex Colome,CWS,RP,RP18,30
173,174,Aristides Aquino,CIN,OF,OF53,25
174,175,Wilson Ramos,NYM,C,C5,32
175,176,Rougned Odor,TEX,2B,2B20,25
176,177,Kolten Wong,STL,2B,2B21,28
177,178,Andrew Heaney,LAA,SP,SP47,28
178,179,Ramon Laureano,OAK,OF,OF54,25
179,180,Mark Melancon,ATL,RP,RP19,34
180,181,Kole Calhoun,LAA,OF,OF55,31
181,182,Corey Seager,LAD,SS,SS23,25
182,183,Sean Doolittle,WSH,RP,RP20,32
183,184,Willie Calhoun,TEX,OF,OF56,24
184,185,Willson Contreras,CHC,C,C6,27
185,186,Joey Gallo,TEX,OF/1B,OF57,25
186,187,Matt Carpenter,STL,3B/1B,3B23,33
187,188,Byron Buxton,MIN,OF,OF58,25
188,189,Randal Grichuk,TOR,OF,OF59,28
189,190,Kyle Seager,SEA,3B,3B24,31
190,191,Hansel Robles,LAA,RP,RP21,29
191,192,Brandon Workman,BOS,RP,RP22,31
192,193,Oscar Mercado,CLE,OF,OF60,24
193,194,Dee Gordon,SEA,2B/OF,2B22,31
194,195,Wade Miley,HOU,SP,SP48,32
195,196,German Marquez,COL,SP,SP49,24
196,197,Joey Votto,CIN,1B,1B26,35
197,198,Nomar Mazara,TEX,OF,OF62,24
198,199,Dallas Keuchel,ATL,SP,SP50,31
199,200,Daniel Vogelbach,SEA,1B,1B27,26
200,201,Manuel Margot,SD,OF,OF63,24
201,202,Carlos Correa,HOU,SS,SS24,24
202,203,Michael Pineda,MIN,SP,SP51,30
203,204,Renato Nunez,BAL,3B/1B,3B25,25
204,205,Evan Longoria,SF,3B,3B26,33
205,206,Yadier Molina,STL,C,C7,37
206,207,Eric Thames,MIL,OF/1B,OF64,32
207,208,Marco Gonzales,SEA,SP,SP52,27
208,209,Mike Tauchman,NYY,OF,OF65,28
209,210,J.D. Davis,NYM,3B/OF,3B27,26
210,211,David Price,BOS,SP,SP53,34
211,212,Justin Smoak,TOR,1B,1B30,32
